text,label
"Urgent: Your Account Has Been Limited Verify Now. We have detected unusual activity on your account. Click here to verify immediately or your account will be suspended within 24 hours.",phishing
"URGENT Confidential Wire Transfer Needed Today. I am in a closed door meeting and cannot talk on the phone. I need you to process a wire transfer today to close a time sensitive deal. Please do not discuss this with anyone.",phishing
"Action Required Your Password Expires Today. Your network password will expire in 2 hours. Reset your password immediately using the secure link below or you will be locked out.",phishing
"Your account has been compromised. Verify your identity now by clicking this link within 24 hours or lose access permanently.",phishing
"Final notice your invoice payment is overdue. Click here immediately to avoid legal action and account suspension.",phishing
"Dear customer your bank account will be suspended. Confirm your details urgently by clicking the secure verification link now.",phishing
"You have won a prize claim now before it expires. Click this link and enter your bank details to receive your reward immediately.",phishing
"CEO here I need you to buy gift cards urgently for a client and send me the codes right away, keep this confidential.",phishing
"Your package delivery failed. Click here to reschedule and confirm your payment details or the package will be returned.",phishing
"IT Security Alert your mailbox is almost full and will be disabled today. Click here now to increase your storage and avoid disruption.",phishing
"We noticed a login attempt from an unrecognized device. Verify it was you immediately by confirming your password at this link.",phishing
"This is the finance director requesting an urgent same day payment to a new vendor account. Please process before end of day and reply only to me.",phishing
"Your subscription payment failed please update your billing information immediately to avoid service interruption within one hour.",phishing
"Congratulations you have been selected for a special refund. Click the link and enter your card number to receive it right now.",phishing
"Reminder Your Office365 password needs verification today. Failure to verify will result in immediate account lockout, click here now.",phishing
"Please find attached invoice for your August order of office supplies totaling 412 dollars, payment is due within 30 days per our standard terms.",legitimate
"Hi team here is what is happening this week new cafeteria menu rolling out Monday and Q3 town hall scheduled for next Thursday.",legitimate
"Thank you for your order, your package has shipped and should arrive within 5 to 7 business days. Track your order using the number below.",legitimate
"Attached is the quarterly report for review before our meeting on Thursday. Let me know if you have any questions before then.",legitimate
"Reminder our team meeting is scheduled for tomorrow at 10am in conference room B, please bring your project updates.",legitimate
"Your monthly statement is now available in your online account. Log in through our official website to view your transaction history.",legitimate
"Thanks for attending the conference last week, please find the slides attached along with the feedback survey link for the sessions.",legitimate
"The office will be closed on Monday for the public holiday, regular hours resume Tuesday morning at 9am.",legitimate
"Please review the attached contract draft and send your comments by end of week so we can finalize before the deadline.",legitimate
"Your requested vacation days have been approved starting next Monday through Friday, enjoy your time off.",legitimate
"Here is the agenda for next week's planning meeting, please come prepared with your team's updates and questions.",legitimate
"Following up on our call yesterday, attached are the notes and next steps we agreed on for the project timeline.",legitimate
"Welcome to the team, please find your onboarding schedule attached and let HR know if you have any questions.",legitimate
"The server maintenance window is scheduled for Saturday night from 10pm to 2am, expect brief downtime during this period.",legitimate
"Happy birthday from the whole team, we hope you have a wonderful day and enjoy the cake in the break room.",legitimate
